2.48	6476.999999999999
2.485	6296.642857142857
2.49	6316.214285714285
2.495	6440.071428571428
2.5	6378.571428571428
2.505	6406.642857142856
2.51	6621.285714285714
2.515	6508.071428571428
2.52	6626.642857142857
2.525	6139.999999999999
2.53	6098.571428571428
2.535	5999.714285714284
2.541	5878.5
2.546	5527.357142857142
2.551	5447.428571428571
2.556	4917.785714285714
2.562	4598.428571428571
2.5669999999999997	4253.0
2.572	3801.8571428571427
2.5780000000000003	3306.6428571428564
2.583	2828.7857142857133
2.588	2381.214285714286
2.594	1958.357142857143
2.5989999999999998	1602.285714285714
2.605	1290.2142857142856
2.61	1025.9285714285713
2.616	815.8571428571427
2.6210000000000004	647.8214285714284
2.627	512.0
2.6319999999999997	403.4214285714285
2.638	318.29285714285714
2.6439999999999997	251.8285714285714
2.6489999999999996	199.89285714285714
2.655	159.87857142857143
2.661	128.81428571428572
2.6660000000000004	104.77857142857144
2.6719999999999997	86.17142857142856
2.678	71.73571428571428
2.6839999999999997	60.57857142857142
2.6889999999999996	51.942857142857136
2.695	45.31428571428571
2.701	40.26428571428571
2.707	36.457142857142856
2.713	33.671428571428564
2.719	31.71428571428572
2.725	30.428571428571427
2.7310000000000003	29.678571428571423
2.737	29.37857142857143
2.7430000000000003	29.44285714285714
2.7489999999999997	29.799999999999994
2.755	30.342857142857138
2.761	31.04285714285714
2.767	31.8
2.7739999999999996	32.61428571428571
2.78	33.47857142857143
2.786	34.32857142857142
2.792	35.15714285714285
2.799	35.942857142857136
2.805	36.62857142857142
2.8110000000000004	37.13571428571428
2.818	37.39285714285714
2.824	37.25714285714285
2.8310000000000004	36.71428571428571
2.8369999999999997	35.80714285714285
2.844	34.56428571428571
2.85	33.15
2.8569999999999998	31.65714285714285
2.863	30.221428571428568
2.87	28.98571428571428
2.877	27.99285714285714
2.883	27.27142857142857
2.89	26.857142857142854
2.897	26.75714285714286
2.904	26.921428571428564
2.91	27.328571428571426
2.917	27.99285714285714
2.924	28.799999999999997
2.931	29.76428571428571
2.938	30.928571428571427
2.945	32.22142857142857
2.952	33.614285714285714
2.9589999999999996	35.114285714285714
2.966	36.74285714285714
2.9730000000000003	38.43571428571428
2.98	40.1
2.988	41.707142857142856
2.995	43.171428571428564
3.002	44.38571428571428
3.009	45.271428571428565
3.017	45.87857142857142
3.0239999999999996	46.27142857142857
3.031	46.542857142857144
3.0389999999999997	46.80714285714285
3.0460000000000003	47.214285714285715
3.054	47.92857142857142
3.0610000000000004	49.00000000000001
3.069	50.42142857142857
3.076	52.29999999999999
3.0839999999999996	54.62857142857142
3.092	57.421428571428564
3.1	60.778571428571425
3.263	6391.785714285714
